Reference	Genotype	Phenotype
BAH63712	multidrug__mdtK	multidrug
BAH64410	multidrug__bicyclomycin-multidrug_efflux_protein_bcr	multidrug
BAH65216	multidrug__TolC	multidrug
BAH65231	bacitracin__bacA	bacitracin
BAH65866	multidrug__emrD	multidrug
BX664015.1.gene104.p01	chloramphenicol__cat_chloramphenicol acetyltransferase	chloramphenicol
BX664015.1.gene215.p01	tetracycline__tetA	tetracycline
CAA06639	beta-lactam__ampC	beta-lactam
CAA08847	aminoglycoside__aac(3)-I	aminoglycoside
CAA10366	trimethoprim__dfrA16	trimethoprim
CAA37477	tetracycline__otrA	tetracycline
CAA37699	beta-lactam__class D beta-lactamase	beta-lactam
CAA42550	macrolide-lincosamide-streptogramin__lmrA	macrolide-lincosamide-streptogramin
CAA43220	tetracycline__tetL	tetracycline
CAA52618	beta-lactam__CMY-111	beta-lactam
CAA54738	beta-lactam__class A beta-lactamase	beta-lactam
CAA63057	multidrug__mdtH	multidrug
CAA63519	aminoglycoside__streptomycin resistance protein	aminoglycoside
CAA66307	macrolide-lincosamide-streptogramin__ermN	macrolide-lincosamide-streptogramin
CAA67773	aminoglycoside__aph(3)-III	aminoglycoside
CAA67774	chloramphenicol__cat_chloramphenicol acetyltransferase	chloramphenicol
CAA70206	macrolide-lincosamide-streptogramin__ermC	macrolide-lincosamide-streptogramin
CAA70207	macrolide-lincosamide-streptogramin__ermC	macrolide-lincosamide-streptogramin
CAA70208	macrolide-lincosamide-streptogramin__ermC	macrolide-lincosamide-streptogramin
CAA70425	beta-lactam__mecA	beta-lactam
CAA71441	beta-lactam__metallo-beta-lactamase	beta-lactam
CAA73547	beta-lactam__mecA	beta-lactam
CAA74376	beta-lactam__mecA	beta-lactam
CAA75611	beta-lactam__CMY-31	beta-lactam
CAA76069	tetracycline__tetH	tetracycline
CAA88266	aminoglycoside__aph(3)-I	aminoglycoside
CAA90431	fusidic-acid__fusH	fusidic-acid
CAA90687	trimethoprim__dfrA14	trimethoprim
CAA90688	trimethoprim__dfrA14	trimethoprim
CAB12101	multidrug__multidrug_transporter	multidrug
CAB41446	beta-lactam__OXA-1	beta-lactam
CAB50867	beta-lactam__CMY-2	beta-lactam
CAB54703	rifamycin__rifampin resistance protein	rifamycin
CAB61224	vancomycin__vanY	vancomycin
CAB61225	vancomycin__vanZ	vancomycin
CAB61227	vancomycin__vanA	vancomycin
CAB61228	vancomycin__vanH	vancomycin
CAB61229	vancomycin__vanR	vancomycin
CAB61230	vancomycin__vanS	vancomycin
CAB61231	vancomycin__vanX	vancomycin
CAB61645	beta-lactam__FONA-6	beta-lactam
CAB63488	beta-lactam__metallo-beta-lactamase	beta-lactam
CAB63489	beta-lactam__metallo-beta-lactamase	beta-lactam
CAB76925	beta-lactam__class C beta-lactamase	beta-lactam
CAB96926	macrolide-lincosamide-streptogramin__mphC	macrolide-lincosamide-streptogramin
CAC08444	beta-lactam__class C beta-lactamase	beta-lactam
CAC14594	multidrug__smeD	multidrug
CAC14595	multidrug__smeE	multidrug
CAC14596	multidrug__smeF	multidrug
CAC17149	beta-lactam__class C beta-lactamase	beta-lactam
CAC35724	multidrug__acrA	multidrug
CAC35725	multidrug__acrB	multidrug
CAC35726	multidrug__TolC	multidrug
CAC41008	multidrug__acrA	multidrug
CAC41009	multidrug__acrB	multidrug
CAC41338	tetracycline__tetA	tetracycline
CAC42503	tetracycline__tetA	tetracycline
CAC44638	tetracycline__tetB	tetracycline
CAC47932	tetracycline__tetX	tetracycline
CAC47934	macrolide-lincosamide-streptogramin__ermF	macrolide-lincosamide-streptogramin
CAC81326	beta-lactam__OXA-1	beta-lactam
CAC81916	tetracycline__tetE	tetracycline
CAC85157	beta-lactam__ampC	beta-lactam
CAC85357	beta-lactam__ACT-19	beta-lactam
CAC86407	aminoglycoside__aph(6)-I	aminoglycoside
CAD03195	multidrug__emrD	multidrug
CAD04960	multidrug__acrB	multidrug
CAD11594	trimethoprim__dfrA1	trimethoprim
CAD11599	tetracycline__tetA	tetracycline
CAD13485	tetracycline__tetW	tetracycline
CAD20591	beta-lactam__class A beta-lactamase	beta-lactam
CAD36021	aminoglycoside__aph(3)-III	aminoglycoside
CAD55935	beta-lactam__IMP-13	beta-lactam
CAD57182	trimethoprim__dfrA16	trimethoprim
CAD57199	chloramphenicol__catA	chloramphenicol
CAD60196	aminoglycoside__aph(3)-I	aminoglycoside
CAD69003	beta-lactam__metallo-beta-lactamase	beta-lactam
CAD70592	beta-lactam__penA	beta-lactam
CAD89787	macrolide-lincosamide-streptogramin__ermG	macrolide-lincosamide-streptogramin
CAD90667	rifamycin__rifampin resistance protein	rifamycin
CAE46076	tetracycline__tetM	tetracycline
CAE46077	tetracycline__tetM	tetracycline
CAE46078	tetracycline__tetM	tetracycline
CAE46566	beta-lactam__metallo-beta-lactamase	beta-lactam
CAE51025	beta-lactam__VIM-4	beta-lactam
CAE53424	trimethoprim__dfrA20	trimethoprim
CAE53425	sulfonamide__sul2	sulfonamide
CAE55180	beta-lactam__ampC	beta-lactam
CAF05908	beta-lactam__GIM-1	beta-lactam
CAF18336	sulfonamide__sul1	sulfonamide
CAF21854	multidrug__norA	multidrug
CAF29483	aminoglycoside__aph(3)-I	aminoglycoside
CAF31623	trimethoprim__dfrA23	trimethoprim
CAF31839	aminoglycoside__aph(4)-I	aminoglycoside
CAF33325	aminoglycoside__aac(3)-VIII	aminoglycoside
CAG27784	tetracycline__tetA	tetracycline
CAG27847	trimethoprim__dfrA5	trimethoprim
CAG30567	tetracycline__tetO	tetracycline
CAG30572	macrolide-lincosamide-streptogramin__mefA	macrolide-lincosamide-streptogramin
CAG34024	aminoglycoside__aac(3)-VIII	aminoglycoside
CAG34107	beta-lactam__OXY-2	beta-lactam
CAG34229	aminoglycoside__ant(2)-I	aminoglycoside
CAG34249	multidrug__smeD	multidrug
CAG34250	multidrug__multidrug_transporter	multidrug
CAG34251	multidrug__smeF	multidrug
CAG34256	multidrug__smeD	multidrug
CAG34257	multidrug__smeE	multidrug
CAG34264	multidrug__smeD	multidrug
CAG34265	multidrug__smeE	multidrug
CAG34266	multidrug__smeF	multidrug
CAG34724	aminoglycoside__aph(3)-I	aminoglycoside
CAG74079	multidrug__acrB	multidrug
CAH58703	aminoglycoside__aac(3)-VIII	aminoglycoside
CAH94334	aminoglycoside__aph(6)-I	aminoglycoside
CAI29521	trimethoprim__dfrA15	trimethoprim
CAI29522	chloramphenicol__chloramphenicol exporter	chloramphenicol
CAI43343	chloramphenicol__chloramphenicol exporter	chloramphenicol
CAI46944	aminoglycoside__aac(3)-I	aminoglycoside
CAI46978	beta-lactam__class A beta-lactamase	beta-lactam
CAI57693	trimethoprim__dfrA7	trimethoprim
CAI57695	trimethoprim__dfrA14	trimethoprim
CAI84881	tetracycline__tetL	tetracycline
CAI92122	trimethoprim__dfrA23	trimethoprim
CAI94891	macrolide-lincosamide-streptogramin__mefA	macrolide-lincosamide-streptogramin
CAI99385	trimethoprim__dfrA24	trimethoprim
CAJ00294	tetracycline__tetM	tetracycline
CAJ00297	tetracycline__tetM	tetracycline
CAJ00299	tetracycline__tetM	tetracycline
CAJ00301	tetracycline__tetM	tetracycline
CAJ15581	beta-lactam__penA	beta-lactam
CAJ21496	tetracycline__tetM	tetracycline
CAJ29561	beta-lactam__OXA-1	beta-lactam
CAJ31068	chloramphenicol__chloramphenicol exporter	chloramphenicol
CAJ31231	beta-lactam__class A beta-lactamase	beta-lactam
CAJ32498	aminoglycoside__aac(3)-I	aminoglycoside
CAJ43422	beta-lactam__class A beta-lactamase	beta-lactam
CAJ43426	fusaric-acid__fusB	fusaric-acid
CAJ43792	macrolide-lincosamide-streptogramin__ermC	macrolide-lincosamide-streptogramin
CAJ45367	macrolide-lincosamide-streptogramin__mefA	macrolide-lincosamide-streptogramin
CAJ51087	macrolide-lincosamide-streptogramin__mphC	macrolide-lincosamide-streptogramin
CAJ65586	beta-lactam__VIM-1	beta-lactam
CAJ65911	chloramphenicol__chloramphenicol exporter	chloramphenicol
CAJ75666	macrolide-lincosamide-streptogramin__lnuA	macrolide-lincosamide-streptogramin
CAJ75672	macrolide-lincosamide-streptogramin__lnuA	macrolide-lincosamide-streptogramin
CAJ77026	aminoglycoside__aph(6)-I	aminoglycoside
CAJ77843	multidrug__adeC	multidrug
CAJ77844	multidrug__adeB	multidrug
CAJ77891	trimethoprim__dfrA5	trimethoprim
CAJ85716	aminoglycoside__aph(3)-I	aminoglycoside
CAJ88549	tetracycline__tetracycline_resistance_protein	tetracycline
CAJ93947	bacitracin__bacA	bacitracin
CAK55562	beta-lactam__IMP-1	beta-lactam
CAL11685	multidrug__mdtG	multidrug
CAL12097	beta-lactam__class A beta-lactamase	beta-lactam
CAL13137	multidrug__acrB	multidrug
CAL18627	multidrug__TolC	multidrug
CAL22891	beta-lactam__mecA	beta-lactam
CAL26907	beta-lactam__TEM-1	beta-lactam
CAL37101	macrolide-lincosamide-streptogramin__mphC	macrolide-lincosamide-streptogramin
CAL44990	macrolide-lincosamide-streptogramin__lnuA	macrolide-lincosamide-streptogramin
CAL44999	macrolide-lincosamide-streptogramin__lnuA	macrolide-lincosamide-streptogramin
CAL48457	trimethoprim__dfrA1	trimethoprim
CAL64024	chloramphenicol__chloramphenicol exporter	chloramphenicol
CAL69903	tetracycline__tetM	tetracycline
CAM12479	tetracycline__tet40	tetracycline
CAM88357	aminoglycoside__aac(3)-I	aminoglycoside
CAM88389	trimethoprim__dfrA10	trimethoprim
CAM88409	chloramphenicol__chloramphenicol exporter	chloramphenicol
CAM88415	aminoglycoside__aph(6)-I	aminoglycoside
CAO72212	macrolide-lincosamide-streptogramin__ermX	macrolide-lincosamide-streptogramin
CAO78565	tetracycline__tetW	tetracycline
CAO82104	quinolone__qnrB	quinolone
CAO82964	tetracycline__tetM	tetracycline
CAO82974	chloramphenicol__catA	chloramphenicol
CAO91607	beta-lactam__PBP-2X	beta-lactam
CAO91608	beta-lactam__PBP-2X	beta-lactam
CAO91609	beta-lactam__PBP-2X	beta-lactam
CAO91612	beta-lactam__PBP-2X	beta-lactam
CAO91614	beta-lactam__PBP-2X	beta-lactam
CAO91615	beta-lactam__PBP-2X	beta-lactam
CAO91616	beta-lactam__PBP-2X	beta-lactam
CAO91617	beta-lactam__PBP-2X	beta-lactam
CAO91620	beta-lactam__PBP-2X	beta-lactam
CAO91621	beta-lactam__PBP-2X	beta-lactam
CAO91622	beta-lactam__PBP-2X	beta-lactam
CAO91624	beta-lactam__PBP-2X	beta-lactam
CAO91626	beta-lactam__PBP-2X	beta-lactam
CAO91629	beta-lactam__PBP-2X	beta-lactam
CAO91630	beta-lactam__PBP-2X	beta-lactam
CAP45560	beta-lactam__CTX-M-16	beta-lactam
CAP45902	quinolone__qnrB	quinolone
CAP58290	beta-lactam__SHV-2	beta-lactam
CAP58291	beta-lactam__SHV-85	beta-lactam
CAP58293	tetracycline__tet40	tetracycline
CAP69686	trimethoprim__dfrA17	trimethoprim
CAP72501	trimethoprim__dfrA17	trimethoprim
CAP74085	chloramphenicol__catB	chloramphenicol
CAQ51492	tetracycline__tetH	tetracycline
CAQ52800	trimethoprim__dfrB1	trimethoprim
CAQ76847	tetracycline__tetM	tetracycline
CAQ86961	aminoglycoside__aph(6)-I	aminoglycoside
CAR51973	multidrug__amrB	multidrug
CAR56415	multidrug__opcM	multidrug
CAR56416	multidrug__ceoB	multidrug
CAR58198	kasugamycin__kasugamycin resistance protein ksgA	kasugamycin
CAR59960	multidrug__mdfA	multidrug
CAR60299	multidrug__acrA	multidrug
CAR60300	multidrug__acrB	multidrug
CAR61098	multidrug__TolC	multidrug
CAR61679	multidrug__emrD	multidrug
CAR63499	trimethoprim__dfrA1	trimethoprim
CAR63502	trimethoprim__dfrA1	trimethoprim
CAR69107	tetracycline__tetM	tetracycline
CAS07946	multidrug__acrA	multidrug
CAS09877	multidrug__bicyclomycin-multidrug_efflux_protein_bcr	multidrug
CAS10898	bacitracin__bacA	bacitracin
CAT00058	trimethoprim__dfrA12	trimethoprim
CAU08343	beta-lactam__metallo-beta-lactamase	beta-lactam
CAV31157	tetracycline__tetM	tetracycline
CAW25151	multidrug__mexB	multidrug
CAW28031	multidrug__mexX	multidrug
CAW28032	multidrug__mexY	multidrug
CAW29378	chloramphenicol__cat_chloramphenicol acetyltransferase	chloramphenicol
CAW29737	multidrug__mexD	multidrug
CAX16467	trimethoprim__dfrA22	trimethoprim
CAX85496	tetracycline__tetW	tetracycline
CAY49038	bacitracin__bacA	bacitracin
CAY49157	multidrug__mexF	multidrug
CAY51926	multidrug__mexW	multidrug
CAZ44321	trimethoprim__dfrA12	trimethoprim
CP000034.1.gene1340.p01	unclassified__cob(I)alamin adenolsyltransferase	unclassified
CP000034.1.gene2187.p01	unclassified__histidine kinase	unclassified
CP000034.1.gene2198.p01	multidrug__ompF	multidrug
CP000034.1.gene2328.p01	multidrug__ompF	multidrug
CP000034.1.gene2563.p01	multidrug__emrK	multidrug
CP000034.1.gene2880.p01	multidrug__emrA	multidrug
CP000034.1.gene3205.p01	multidrug__TolC	multidrug
CP000034.1.gene3672.p01	multidrug__ompR	multidrug
CP000034.1.gene3834.p01	unclassified__transcriptional regulatory protein CpxR cpxR	unclassified
CP000034.1.gene4157.p01	multidrug__emrD	multidrug
CP000034.1.gene4477.p01	unclassified__bacterial regulatory protein LuxR	unclassified
CP000034.1.gene4478.p01	unclassified__histidine kinase	unclassified
CP000034.1.gene456.p01	multidrug__acrA	multidrug
CP000034.1.gene457.p01	multidrug__acrB	multidrug
CP000308.1.gene1582.p01	unclassified__DNA-binding_protein_H-NS	unclassified
CP000647.1.gene1607.p01	beta-lactam__SHV	beta-lactam
CP000647.1.gene2414.p01	unclassified__sdiA	unclassified
CP000647.1.gene2517.p01	multidrug__ompF	multidrug
CP000647.1.gene2530.p01	unclassified__histidine kinase	unclassified
CP000647.1.gene3014.p01	multidrug__emrA	multidrug
CP000647.1.gene3015.p01	multidrug__emrB	multidrug
CP000647.1.gene3449.p01	multidrug__TolC	multidrug
CP000647.1.gene3517.p01	unclassified__bacterial regulatory protein LuxR	unclassified
CP000647.1.gene3518.p01	unclassified__histidine kinase	unclassified
CP000647.1.gene3709.p01	multidrug__mexX	multidrug
CP000647.1.gene3710.p01	multidrug__acrF	multidrug
CP000647.1.gene4115.p01	multidrug__emrD	multidrug
CP000647.1.gene4256.p01	unclassified__histidine kinase	unclassified
CP000647.1.gene4257.p01	unclassified__transcriptional regulatory protein CpxR cpxR	unclassified
CP000647.1.gene443.p01	multidrug__acrB	multidrug
CP000647.1.gene444.p01	multidrug__acrA	multidrug
CP000647.1.gene911.p01	macrolide-lincosamide-streptogramin__macA	macrolide-lincosamide-streptogramin
CP000647.1.gene956.p01	multidrug__ompF	multidrug
CP000675.2.gene1363.p01	multidrug__marR	multidrug
CP000675.2.gene1502.p01	multidrug__mdfA	multidrug
CP000675.2.gene1534.p01	unclassified__histidine kinase	unclassified
CP000675.2.gene1535.p01	unclassified__transcriptional regulatory protein CpxR cpxR	unclassified
CP000675.2.gene1723.p01	beta-lactam__mecI	beta-lactam
CP000675.2.gene2298.p01	multidrug__mexF	multidrug
CP000675.2.gene2723.p01	multidrug__mexF	multidrug
CP000675.2.gene498.p01	multidrug__oprM	multidrug
CP000675.2.gene499.p01	multidrug__pmrA	multidrug
CP000675.2.gene810.p01	multidrug__TolC	multidrug
CP000768.1.gene1024.p01	macrolide-lincosamide-streptogramin__macA	macrolide-lincosamide-streptogramin
CP000768.1.gene1536.p01	multidrug__cmeA	multidrug
CP000768.1.gene1537.p01	multidrug__cmeB	multidrug
CP001138.1.gene1162.p01	unclassified__sdiA	unclassified
CP001138.1.gene1383.p01	unclassified__DNA-binding_protein_H-NS	unclassified
CP001138.1.gene1489.p01	multidrug__emrE	multidrug
CP001138.1.gene2007.p01	multidrug__mdtH	multidrug
CP001138.1.gene2020.p01	multidrug__mdtG	multidrug
CP001138.1.gene2234.p01	multidrug__mdtA	multidrug
CP001138.1.gene2235.p01	multidrug__mdtB	multidrug
CP001138.1.gene2236.p01	multidrug__mdtC	multidrug
CP001138.1.gene2238.p01	unclassified__histidine kinase	unclassified
CP001138.1.gene2905.p01	multidrug__emrA	multidrug
CP001138.1.gene2906.p01	multidrug__emrB	multidrug
CP001138.1.gene3341.p01	multidrug__TolC	multidrug
CP001138.1.gene376.p01	multidrug__oprM	multidrug
CP001138.1.gene3995.p01	multidrug__emrD	multidrug
CP001138.1.gene4042.p01	multidrug__mdtL	multidrug
CP001138.1.gene4273.p01	unclassified__transcriptional regulatory protein CpxR cpxR	unclassified
CP001138.1.gene4809.p01	multidrug__mdtM	multidrug
CP001138.1.gene894.p01	multidrug__mdfA	multidrug
CP001138.1.gene934.p01	macrolide-lincosamide-streptogramin__macA	macrolide-lincosamide-streptogramin
CP001485.1.gene2287.p01	unclassified__DNA-binding_protein_H-NS	unclassified
CP001485.1.gene2821.p01	tetracycline__tetA	tetracycline
CP001485.1.gene720.p01	unclassified__histidine kinase	unclassified
CP001485.1.gene721.p01	unclassified__transcriptional regulatory protein CpxR cpxR	unclassified
CP001485.1.gene972.p01	multidrug__TolC	multidrug
CP001581.1.gene3143.p01	chloramphenicol__chloramphenicol and florfenicol resistance gene	chloramphenicol
CP001581.1.gene725.p01	multidrug__EmrB-QacA family major facilitator transporter	multidrug
CP001918.1.gene1257.p01	multidrug__acrB	multidrug
CP001918.1.gene1258.p01	multidrug__mexE	multidrug
CP001918.1.gene1399.p01	unclassified__sdiA	unclassified
CP001918.1.gene1661.p01	unclassified__DNA-binding_protein_H-NS	unclassified
CP001918.1.gene2596.p01	multidrug__mdtH	multidrug
CP001918.1.gene2608.p01	multidrug__mdtG	multidrug
CP001918.1.gene2749.p01	multidrug__ompF	multidrug
CP001918.1.gene2796.p01	macrolide-lincosamide-streptogramin__macA	macrolide-lincosamide-streptogramin
CP001918.1.gene2898.p01	multidrug__mdfA	multidrug
CP001918.1.gene2931.p01	multidrug__major_facilitator_superfamily_transporter	multidrug
CP001918.1.gene3439.p01	multidrug__mdtA	multidrug
CP001918.1.gene3440.p01	multidrug__mdtB	multidrug
CP001918.1.gene3441.p01	multidrug__mdtC	multidrug
CP001918.1.gene3442.p01	multidrug__mdtE	multidrug
CP001918.1.gene3443.p01	unclassified__histidine kinase	unclassified
CP001918.1.gene4071.p01	multidrug__EmrB-QacA family major facilitator transporter	multidrug
CP001918.1.gene4501.p01	unclassified__histidine kinase	unclassified
CP001918.1.gene4502.p01	unclassified__two-component system_response regulator EvgA	unclassified
CP001918.1.gene5135.p01	unclassified__transcriptional regulatory protein CpxR cpxR	unclassified
CP001918.1.gene721.p01	fosfomycin__fosA	fosfomycin
CP002695.1.gene992.p01	multidrug__acrB	multidrug
CP003583.1.gene1005.p01	multidrug__multidrug_transporter	multidrug
CP003583.1.gene2512.p01	multidrug__adeC	multidrug
CP003583.1.gene510.p01	multidrug__EmrB-QacA family major facilitator transporter	multidrug
CP004022.1.gene1136.p01	multidrug__mdtH	multidrug
CP004022.1.gene1280.p01	multidrug__mdtL	multidrug
CP004022.1.gene1427.p01	multidrug__mdtK	multidrug
CP004022.1.gene1549.p01	multidrug__multidrug_transporter	multidrug
CP004022.1.gene1672.p01	multidrug__mdtA	multidrug
CP004022.1.gene1673.p01	multidrug__mdtB	multidrug
CP004022.1.gene1674.p01	multidrug__mdtC	multidrug
CP004022.1.gene1675.p01	unclassified__histidine kinase	unclassified
CP004022.1.gene1785.p01	multidrug__mdtG	multidrug
CP004022.1.gene2485.p01	multidrug__TolC	multidrug
CP004022.1.gene2534.p01	tetracycline__tetJ	tetracycline
CP004022.1.gene2827.p01	unclassified__cAMP-regulatory protein	unclassified
CP004022.1.gene294.p01	multidrug__acrA	multidrug
CP004022.1.gene3214.p01	unclassified__histidine kinase	unclassified
CP004022.1.gene3215.p01	unclassified__transcriptional regulatory protein CpxR cpxR	unclassified
CP004022.1.gene3225.p01	multidrug__emrD	multidrug
CP004022.1.gene546.p01	multidrug__emrB	multidrug
CP004022.1.gene547.p01	multidrug__emrA	multidrug
CP004022.1.gene757.p01	macrolide-lincosamide-streptogramin__macA	macrolide-lincosamide-streptogramin
CP004022.1.gene834.p01	multidrug__ompF	multidrug
CP004067.1.gene46.p01	aminoglycoside__aph(2)-Ie	aminoglycoside
D13210.1.gene1.p01	beta-lactam__CARB-12	beta-lactam
D13304.2.gene1.p01	beta-lactam__MOX-1	beta-lactam
D16171.1.gene1.p01	chloramphenicol__cat_chloramphenicol acetyltransferase	chloramphenicol
D37826.1.gene1.p01	chloramphenicol__chloramphenicol and florfenicol exporter	chloramphenicol
D37830.1.gene1.p01	beta-lactam__Toho-1	beta-lactam
D89862.1.gene1.p01	beta-lactam__class A beta-lactamase	beta-lactam
DQ013287.1.gene1.p1	beta-lactam__SHV-70	beta-lactam
DQ018711.1.gene1.p01	vancomycin__vanR	vancomycin
DQ018711.1.gene2.p01	vancomycin__vanS	vancomycin
DQ018711.1.gene4.p01	vancomycin__vanH	vancomycin
DQ018711.1.gene5.p01	vancomycin__vanA	vancomycin
DQ018711.1.gene6.p01	vancomycin__vanX	vancomycin
DQ018711.1.gene7.p01	vancomycin__vanY	vancomycin
DQ018711.1.gene8.p01	vancomycin__vanZ	vancomycin
DQ023162.1.gene1.p1	beta-lactam__CTX-M-41	beta-lactam
DQ061159.1.gene1.p01	beta-lactam__CTX-M-42	beta-lactam
DQ072853.1.gene1.p01	beta-lactam__TEM-139	beta-lactam
DQ075245.1.gene1.p01	beta-lactam__TEM-143	beta-lactam
DQ102702.1.gene1.p1	beta-lactam__CTX-M-43	beta-lactam
DQ105528.2.gene1.p01	beta-lactam__TEM-145	beta-lactam
DQ105529.2.gene1.p01	beta-lactam__TEM-146	beta-lactam
DQ125241.gene.p01	beta-lactam__CTX-M-2	beta-lactam
DQ139328.1.gene1.p1	beta-lactam__CMY-21	beta-lactam
DQ143913.1.gene4.p01	beta-lactam__VIM-12	beta-lactam
DQ143913.1.gene6.p01	sulfonamide__sul1	sulfonamide
DQ144639.1.orf1.gene.p01	macrolide-lincosamide-streptogramin__erm(38)	macrolide-lincosamide-streptogramin
DQ149247.1.gene1.p01	beta-lactam__OXA-86	beta-lactam
DQ151889.gene.p01	quinolone__qnrA	quinolone
DQ173429.1.gene1.p01	beta-lactam__IMI-2	beta-lactam
DQ174304.1.gene1.p01	beta-lactam__SHV-64	beta-lactam
DQ174305.1.gene1.p01	beta-lactam__SHV-65	beta-lactam
DQ174306.1.gene1.p01	beta-lactam__SHV-66	beta-lactam
DQ174307.1.gene1.p01	beta-lactam__SHV-67	beta-lactam
DQ174308.1.gene1.p01	beta-lactam__SHV-69	beta-lactam
DQ193536.1.gene1.p01	beta-lactam__SHV	beta-lactam
DQ195536.2.orf0.gene.p01	macrolide-lincosamide-streptogramin__oleD	macrolide-lincosamide-streptogramin
DQ211987.1.gene1.p01	beta-lactam__CTX-M-51	beta-lactam
DQ212986.1.gene11.p01	vancomycin__vanG	vancomycin
DQ212986.1.gene3.p01	vancomycin__vanU	vancomycin
DQ212986.1.gene4.p01	vancomycin__vanR	vancomycin
DQ212986.1.gene5.p01	vancomycin__vanS	vancomycin
DQ212986.1.gene6.p01	vancomycin__vanG	vancomycin
DQ212986.1.gene7.p01	vancomycin__vanW	vancomycin
DQ212986.1.gene8.p01	vancomycin__vanG	vancomycin
DQ212986.1.gene9.p01	vancomycin__vanG	vancomycin
DQ223685.1.gene1.p01	beta-lactam__CTX-M-52	beta-lactam
DQ256079.1.gene1.p01	beta-lactam__CMY-22	beta-lactam
DQ256091.1.gene1.p1	beta-lactam__CTX-M-82	beta-lactam
DQ268764.2.gene6.p01	beta-lactam__CTX-M-53	beta-lactam
DQ279850.1.gene1.p1	beta-lactam__TEM-147	beta-lactam
DQ286729.1.gene1.p1	beta-lactam__TEM-55	beta-lactam
DQ294299.gene.p01	tetracycline__tetW	tetracycline
DQ303918.1.gene1.p01	aminoglycoside__aac(6)-I	aminoglycoside
DQ309276.1.gene1.p01	beta-lactam__OXA-84	beta-lactam
DQ309277.1.gene1.p01	beta-lactam__OXA-83	beta-lactam
DQ322460.1.gene1.p1	beta-lactam__SHV-85	beta-lactam
DQ328802.1.gene1.p01	beta-lactam__SHV-86	beta-lactam
DQ335566.1.gene1.p01	beta-lactam__OXA-92	beta-lactam
DQ336355.1.gene5.p01	aminoglycoside__aph(3)-I	aminoglycoside
DQ348075.1.gene1.p01	beta-lactam__OXA-87	beta-lactam
DQ351241.gene.p01	quinolone__qnrB	quinolone
DQ361087.2.gene1.p01	beta-lactam__IMP-22	beta-lactam
DQ365886.1.gene1.p01	beta-lactam__VIM-13	beta-lactam
DQ369751.1.gene1.p01	beta-lactam__TEM-149	beta-lactam
DQ388882.1.gene1.p01	beta-lactam__TEM-142	beta-lactam
DQ392963.1.gene1.p01	beta-lactam__OXA-88	beta-lactam
DQ393783.1.gene4.p01	aminoglycoside__aadA	aminoglycoside
DQ408762.1.gene1.p1	beta-lactam__CTX-M-59	beta-lactam
DQ435306.1.orf0.gene.p01	quinolone__qnrA	quinolone
DQ445683.1.gene1.p01	beta-lactam__OXA-89	beta-lactam
DQ449578.gene.p01	quinolone__qnrS	quinolone
DQ463751.1.gene1.p01	beta-lactam__CMY-23	beta-lactam
DQ464881.1.gene2.p01	sulfonamide__sul2	sulfonamide
DQ464881.1.gene4.p01	aminoglycoside__aph(3)-I	aminoglycoside
